Gene	LINC1KD-1-D2-NTC_ATCACG_L008	LINC1KD-2-D2-658_CGATGT_L008	LINC1KD-3-D3-NTC_TTAGGC_L008	LINC1KD-4-1D3-658_TGACCA_L008	LINC1KD-5-2D3-NTC_GCCAAT_L008	LINC1KD-6-2D3-658_TAGCTT_L008
ENSMUSG00000002325.14	170	225	179	259	237	246
ENSMUSG00000002326.5	111	158	111	145	126	135
ENSMUSG00000002329.6	369	391	257	382	374	381
ENSMUSG00000002332.15	207	279	267	379	334	289
ENSMUSG00000002341.8	50	69	32	44	43	46
ENSMUSG00000002342.17	882	732	536	748	731	875
ENSMUSG00000002343.11	586	622	672	869	959	963
ENSMUSG00000002345.17	299	381	322	436	515	474
ENSMUSG00000002346.16	228	332	241	266	258	253
ENSMUSG00000002365.9	268	409	186	333	229	325
ENSMUSG00000002372.8	2449	2707	1933	2964	2591	2663
ENSMUSG00000002379.6	2146	2430	1590	3280	2408	2839
ENSMUSG00000002384.2	43	27	36	48	21	42
ENSMUSG00000002393.14	1572	1644	1124	1821	1421	1727
ENSMUSG00000002395.14	1173	1289	845	1585	1108	1329
ENSMUSG00000002396.8	99	190	115	213	147	234
ENSMUSG00000002409.18	258	299	192	233	229	178
ENSMUSG00000002413.15	775	856	821	1008	529	730
ENSMUSG00000002416.13	504	763	414	816	498	801
ENSMUSG00000002428.12	567	667	425	576	333	432
ENSMUSG00000002455.14	2669	2683	1986	2388	2286	2293
ENSMUSG00000002458.13	1101	1009	767	1116	868	966
ENSMUSG00000002459.17	30	83	68	214	43	118
ENSMUSG00000002475.15	26	0	26	6	27	11
ENSMUSG00000002477.4	1114	1270	1789	1607	1327	1467
ENSMUSG00000002486.15	399	576	256	503	477	536
ENSMUSG00000002489.15	1608	1663	1434	1297	1685	1114
ENSMUSG00000002496.9	3103	2938	2086	2762	2459	2234
ENSMUSG00000002500.15	60	15	19	40	16	13
ENSMUSG00000002504.14	253	312	245	290	297	238
ENSMUSG00000002524.15	5457	5761	3881	6579	4906	6146
ENSMUSG00000002546.16	1463	1408	934	1252	1422	1248
ENSMUSG00000002550.16	869	1060	518	860	873	1192
ENSMUSG00000002565.16	0	0	2	7	2	16
ENSMUSG00000002578.16	31	36	12	36	37	12
ENSMUSG00000002580.7	647	772	547	769	743	912
ENSMUSG00000002588.12	0	0	0	0	1	0
ENSMUSG00000002602.16	25	27	31	46	19	31
ENSMUSG00000002603.15	285	273	302	529	292	358
ENSMUSG00000002608.8	836	963	615	936	932	1010
ENSMUSG00000002617.14	13	5	17	14	18	28
ENSMUSG00000002625.9	629	689	388	461	535	664
ENSMUSG00000002633.4	4	0	1	1	3	0
ENSMUSG00000002635.11	807	1050	712	921	868	1124
ENSMUSG00000002658.9	1227	1630	1086	1521	1525	1682
ENSMUSG00000002660.7	1176	1294	1171	1518	1305	1606
ENSMUSG00000002661.14	340	419	287	488	373	391
ENSMUSG00000002664.2	0	0	0	0	0	0
ENSMUSG00000002668.7	1	4	2	4	2	3
ENSMUSG00000002679.14	192	495	289	402	189	266
ENSMUSG00000002688.8	24	46	6	10	31	30
ENSMUSG00000002699.13	0	0	0	0	0	0
ENSMUSG00000002718.14	4555	5416	3767	5611	3451	5512
ENSMUSG00000002728.14	799	1513	709	1277	736	1413
ENSMUSG00000002731.6	135	280	146	287	196	336
ENSMUSG00000002732.14	0	0	0	2	0	0
ENSMUSG00000002733.8	392	571	391	695	508	762
ENSMUSG00000002741.9	1800	2296	1940	2294	2346	2568
ENSMUSG00000002748.7	3540	3914	2541	3678	2664	3601
ENSMUSG00000002763.16	684	755	449	655	535	582
ENSMUSG00000002767.13	2431	2972	1644	3058	2031	3124
ENSMUSG00000002768.7	1019	1041	633	1171	921	1222
ENSMUSG00000002769.8	14	0	0	1	4	1
